"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","94","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by ID in the URL",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","96","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Description And Name",""
"passed","Tue Jun 14 15:14:18 GMT 2022","Tue Jun 14 15:14:18 GMT 2022","81","Schema-Tests","Schemas","Produtos.TestProdutosSchema","","","Validate products API",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:23 GMT 2022","100","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Name",""
"passed","Tue Jun 14 15:14:23 GMT 2022","Tue Jun 14 15:14:23 GMT 2022","93","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description",""
"passed","Tue Jun 14 15:14:23 GMT 2022","Tue Jun 14 15:14:23 GMT 2022","92","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be an integer",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:21 GMT 2022","96","Integration-Tests","Login","TestLogin","","","Login with an invalid email",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","101","Integration-Tests","Login","TestLogin","","","Login with a blank email and password",""
"passed","Tue Jun 14 15:14:23 GMT 2022","Tue Jun 14 15:14:23 GMT 2022","94","Integration-Tests","Produtos","TestProdutos","","","Successfully validating that the price must be a number",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:21 GMT 2022","96","Integration-Tests","Login","TestLogin","","","Login with a non-exists email and password",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","93","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by Name",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","97","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID in the URL",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:21 GMT 2022","159","Integration-Tests","Login","TestLogin","","","Successfully login",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","128","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product by ID",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","96","Integration-Tests","Produtos","TestProdutos","","","Successfully validating product",""
"passed","Tue Jun 14 15:14:22 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","93","Integration-Tests","Login","TestLogin","","","Login with just the blank password",""
"passed","Tue Jun 14 15:14:18 GMT 2022","Tue Jun 14 15:14:18 GMT 2022","95","Schema-Tests","Schemas","Usuarios.TestUsuariosSchema","","","Validate user API schema",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:21 GMT 2022","95","Integration-Tests","Login","TestLogin","","","Login with a non-exists email",""
"passed","Tue Jun 14 15:14:18 GMT 2022","Tue Jun 14 15:14:18 GMT 2022","206","Schema-Tests","Schemas","Carrinhos.TestCarrinhosSchema","","","Validate car API schema",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:21 GMT 2022","95","Integration-Tests","Login","TestLogin","","","Login with a non-exists password",""
"passed","Tue Jun 14 15:14:21 GMT 2022","Tue Jun 14 15:14:22 GMT 2022","100","Integration-Tests","Login","TestLogin","","","Login with just the blank email",""
"passed","Tue Jun 14 15:14:23 GMT 2022","Tue Jun 14 15:14:23 GMT 2022","93","Integration-Tests","Produtos","TestProdutos","","","Unsuccessfully validating product by Description And Name",""
